native_class,domains
VoidHunters,FORCE
acb,TEAM
afa,REPAIR
aib,BLUEPRINT|CHASSIS|COUNTERMEASURE|ENERGY|FIGHTER|GRAPPLE|LASER|MASS|MISSILE|MISSION|RELOAD|REPAIR|SHIELD|TEAM|THRUSTER
aj,REPAIR
anb,CHASSIS|INERTIA|MASS|VELOCITY
aqa,THRUSTER
asb,TEAM
bba,MISSION
bda,WORLD
bea,MISSION
bl,TEAM
boa,BLUEPRINT
bob,MISSION
bta,BLUEPRINT
cbb,CHASSIS|ENERGY|MISSILE|SHIELD|THRUSTER
cc,MISSION
cf,MISSION
clb,AIMARC|AIMSPEED|AUTOAIM|BLUEPRINT|COLLISION|COUNTERMEASURE|DAMAGE|DEBRIS|DOWNSHIFT|ENERGY|FIGHTER|FORCE|GRAPPLE|INERTIA|LASER|MASS|MISSILE|MISSION|PHYSICS|PROJECTILE|RELOAD|REPAIR|RESOURCE|SALVO|SHIELD|TEAM|TERRAIN|THRUSTER|TORPEDO|UPSHIFT|VELOCITY|WORLD
cma,TEAM
cqb,MISSION
dab,MISSION
deb,BLUEPRINT
dfa,GRAPPLE
dga,RELOAD|TEAM|WORLD
di,TEAM
dla,BLUEPRINT
dob,TEAM
dwa,TEAM
ee,BLUEPRINT
ena,MISSILE
et,MISSION
ev,CHASSIS|FIGHTER
fab,BLUEPRINT
fcb,COLLISION|DAMAGE|ENERGY|FIGHTER|LASER|MASS|MISSILE|PROJECTILE|RELOAD|REPAIR|SHIELD|THRUSTER
fdb,CHASSIS
ffb,TEAM
fha,BLUEPRINT
fia,RELOAD|TEAM
fma,RELOAD
fmb,MASS
fob,SHIELD
fq,FORCE
gh,REPAIR
gl,SHIELD
gla,GRAPPLE
gm,CHASSIS
gmb,MISSILE
grb,LASER
hkb,MISSION|WORLD
hla,REPAIR
hna,BLUEPRINT
hqb,FORCE
ic,ENERGY|SHIELD
ifa,ENERGY
ih,MISSION|TEAM
iia,MISSION
ika,MISSION|TEAM
imb,ENERGY|HARDPOINT|WORLD
iob,CHASSIS
ip,THRUSTER
ipa,BLUEPRINT
ir,BLUEPRINT
iit,TEAM
iwa,BLUEPRINT
jl,TEAM
jo,BLUEPRINT
jpa,MISSION
jsb,MISSION|TEAM
kc,BLUEPRINT
kha,ENERGY|PROJECTILE
kj,DAMAGE
kk,FIGHTER
kl,SHIELD
kla,MISSILE
kma,TEAM
kmb,CHASSIS
kr,RELOAD
ks,TEAM
lbb,MISSION|TEAM
lib,MISSION
lja,GRAPPLE|RELOAD
llb,REPAIR
lrb,MISSION|TEAM
mb,BLUEPRINT|CHASSIS|ENERGY|REPAIR
mbb,BLUEPRINT
ml,GRAPPLE|HARDPOINT|THRUSTER
mua,SHIELD
nbb,DEBRIS
ne,THRUSTER
nva,MISSILE
oba,REPAIR
oe,SHIELD
ola,TEAM
om,MISSION|TEAM
orb,DEBRIS
pb,FIGHTER
pe,DEBRIS|MISSION|PROJECTILE|RESOURCE|TEAM|WORLD
pfa,CHASSIS
pfb,MISSION
pja,GRAPPLE
pl,RESOURCE
pob,MISSION
pra,BLUEPRINT
pu,FORCE
qb,AIMARC|AIMSPEED|AUTOAIM|COLLISION|COUNTERMEASURE|DAMAGE|DEBRIS|DOWNSHIFT|ENERGY|FIGHTER|FORCE|GRAPPLE|INERTIA|LASER|MASS|MISSILE|MISSION|PHYSICS|PROJECTILE|RELOAD|REPAIR|RESOURCE|SALVO|SHIELD|TEAM|TERRAIN|THRUSTER|TORPEDO|UPSHIFT|VELOCITY|WORLD
qd,REPAIR
qdb,MISSION
qjb,RELOAD
qjb,DAMAGE
qma,MISSION
qpa,TEAM
qv,TEAM
rba,BLUEPRINT
re,TEAM
rla,WORLD
rsb,MISSION|WORLD
sfa,TEAM
sg,BLUEPRINT|ENERGY|RELOAD|REPAIR|SALVO|SHIELD|TEAM
tj,DAMAGE|PROJECTILE|TEAM
ue,BLUEPRINT
ufb,CHASSIS
uga,WORLD
una,MISSION
uoa,MISSION
up,TEAM
uca,BLUEPRINT|FORCE|HARDPOINT|MISSION|TEAM
vfa,TEAM
vj,FIGHTER
vm,BLUEPRINT
vob,CHASSIS
vpa,MISSION
vp,MISSION|TEAM
wgb,CHASSIS
wna,RELOAD
wqb,CHASSIS|ENERGY|THRUSTER
woa,LASER
wj,TEAM
wja,TEAM
x? ,UNRESOLVED
