key_index,configuration_key,value_status,source
0,NEBULA_PROXIMITY_FADE_DOWNSHIFT,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
1,USE_TRAILS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
2,FIGHTER_VISION,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
3,SHIP_TO_SHIP_RAM_DAMAGE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
4,TEAM_SELECTION_SPEEDUP,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
5,FULL_MISSION_SET,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
6,WAIT_FOR_PLAYERS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
7,KEEP_TEAM_COLOURS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
8,DEBRIS_COLLISION,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
9,DEBRIS_PARTITIONED,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
10,DEBRIS_COLLISION_DAMAGE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
11,DEBRIS_PROJECTILE_COLLISION,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
12,DEBRIS_THROWABLE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
13,MISSILES_HIT_SOURCE_TEAM,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
14,MISSILES_DAMAGE_SOURCE_TEAM,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
15,GRAPPLING_HOOKS_DAMAGEABLE_BY_SOURCE_PLAYER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
16,THRUSTER_BINDING_MOVE_AND_TURN_HAS_OPPOSITE_MOVE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
17,NEBULA_FADES_OUT_WHEN_CLOSE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
18,DEBRIS_FOUND_IN_PAIRS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
19,FOG_OF_WAR_ON,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
20,USE_MODELS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
21,INNATE_THRUSTERS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
22,THRUSTER_AUTOBALANCING,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
23,BOTS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
24,DETACHMENT_MODE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
25,AUTOAIM,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
26,SALVOAIM,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
27,FIXEDAIM,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
28,ANGLESET,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
29,SALVO_USES_ALL_ENERGY,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
30,SALVO_HOLDABLE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
31,PEDROS_REPAIR_MODE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
32,PEDROS_REPAIR_MODE_SWITCHTIME,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
33,SHIP_PERSISTENCE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
34,DEBRIS_CARRY_OVER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
35,DEBRIS_CARRY_OVER_PERCENTAGE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
36,DEBRIS_SURVIVES,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
37,CLIENT_SIDE_DRAGGING,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
38,SALVO_DAMAGE_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
39,SALVO_REPAIR_TIME_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
40,MP_SANDBOX_ENEMY_SPAWN_LIMIT,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
41,MAX_SHIP_SIZE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
42,FIGHTERS_PER_PLAYER_MAXIMUM,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
43,BURST_FIRE_MAX_ENERGY,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
44,BURST_FIRE_REGENERATION_RATE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
45,BURST_FIRE_RELOAD,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
46,SHIP_SPAWN_INVULNERABILITY_TIME,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
47,FOG_OF_WAR_SENSOR_RANGE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
48,THRUSTER_BINDING_BALANCE_THRESHOLD,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
49,COMPONENT_BREAKING_EXPLOSION_FORCE_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
50,PHYSICS_COLLISION_FORCE_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
51,PHYSICS_COLLISION_GRAPPLING_HOOK_FORCE_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
52,PHYSICS_COLLISION_PHANTOM_FORCE_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
53,DEBRIS_DETACHMENT_FORCE_MULTIPLIER,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
54,GRAPPLE_DEBRIS,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
55,DEBRIS_GRABBING_RANGE,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
56,DEBRIS_MAX,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
57,MISSION_VOTES,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
58,MUTATOR_VOTES,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
59,MISSION_TIME_LIMIT,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
60,ARMAGEDDON_TIMER_START,RUNTIME_RESOLVED_NOT_EMBEDDED,voidhunters.jar:qb.a[]
