native_class,literal_type,constant_pool_index,value
VoidHunters,Integer,1,-2147483648
VoidHunters,Integer,2,2147483647
VoidHunters,Integer,3,0
VoidHunters,Integer,4,1
VoidHunters,Float,5,1.0
VoidHunters,Double,6,3.141592653589793
VoidHunters,Long,7,0
acb,Integer,1,0
acb,Integer,2,1
acb,Integer,3,2
acb,Integer,4,3
acb,Integer,5,4
acb,Integer,6,5
acb,Integer,7,6
acb,Integer,8,7
acb,Integer,9,8
acb,Integer,10,9
acb,Integer,11,10
acb,Integer,12,11
acb,Integer,13,12
acb,Integer,14,13
acb,Integer,15,14
acb,Integer,16,15
acb,Integer,17,16
acb,Integer,18,17
acb,Integer,19,18
acb,Integer,20,19
acb,Integer,21,20
acb,Integer,22,21
acb,Integer,23,22
acb,Integer,24,23
acb,Integer,25,24
acb,Integer,26,25
acb,Integer,27,26
acb,Integer,28,27
acb,Integer,29,28
acb,Integer,30,29
acb,Integer,31,30
acb,Integer,32,31
acb,Integer,33,32
acb,Integer,34,33
acb,Integer,35,34
acb,Integer,36,35
acb,Integer,37,36
acb,Integer,38,37
acb,Integer,39,38
acb,Integer,40,39
acb,Integer,41,40
acb,Integer,42,41
acb,Integer,43,42
acb,Integer,44,43
acb,Integer,45,44
acb,Integer,46,45
acb,Integer,47,46
acb,Integer,48,47
acb,Integer,49,48
acb,Integer,50,49
acb,Integer,51,50
acb,Integer,52,51
acb,Integer,53,52
acb,Integer,54,53
acb,Integer,55,54
acb,Integer,56,55
acb,Integer,57,56
acb,Integer,58,57
acb,Integer,59,58
acb,Integer,60,59
acb,Integer,61,60
acb,Integer,62,61
acb,Integer,63,62
acb,Integer,64,63
acb,Integer,65,64
acb,Integer,66,65
acb,Integer,67,66
acb,Integer,68,67
acb,Integer,69,68
acb,Integer,70,69
acb,Integer,71,70
acb,Integer,72,71
acb,Integer,73,72
acb,Integer,74,73
acb,Integer,75,74
acb,Integer,76,75
acb,Integer,77,76
acb,Integer,78,77
acb,Integer,79,78
acb,Integer,80,79
acb,Integer,81,80
acb,Integer,82,81
acb,Integer,83,82
acb,Integer,84,83
acb,Integer,85,84
acb,Integer,86,85
acb,Integer,87,86
acb,Integer,88,87
acb,Integer,89,88
acb,Integer,90,89
acb,Integer,91,90
acb,Integer,92,91
acb,Integer,93,92
acb,Integer,94,93
acb,Integer,95,94
acb,Integer,96,95
acb,Integer,97,96
acb,Integer,98,97
acb,Integer,99,98
acb,Integer,100,99
acb,Integer,101,100
acb,Integer,102,101
acb,Integer,103,102
acb,Integer,104,103
acb,Integer,105,104
acb,Integer,106,105
acb,Integer,107,106
acb,Integer,108,107
acb,Integer,109,108
acb,Integer,110,109
acb,Integer,111,110
acb,Integer,112,111
acb,Integer,113,112
acb,Integer,114,113
acb,Integer,115,114
acb,Integer,116,115
acb,Integer,117,116
acb,Integer,118,117
acb,Integer,119,118
acb,Integer,120,119
acb,Integer,121,120
acb,Integer,122,121
acb,Integer,123,122
acb,Integer,124,123
acb,Integer,125,124
acb,Integer,126,125
acb,Integer,127,126
acb,Integer,128,127
acb,Integer,129,128
acb,Integer,130,129
acb,Integer,131,130
acb,Integer,132,131
acb,Integer,133,132
acb,Integer,134,133
acb,Integer,135,134
acb,Integer,136,135
acb,Integer,137,136
acb,Integer,138,137
acb,Integer,139,138
acb,Integer,140,139
acb,Integer,141,140
acb,Integer,142,141
acb,Integer,143,142
acb,Integer,144,143
acb,Integer,145,144
acb,Integer,146,145
acb,Integer,147,146
acb,Integer,148,147
acb,Integer,149,148
acb,Integer,150,149
acb,Integer,151,150
acb,Integer,152,151
acb,Integer,153,152
acb,Integer,154,153
acb,Integer,155,154
acb,Integer,156,155
acb,Integer,157,156
acb,Integer,158,157
acb,Integer,159,158
acb,Integer,160,159
acb,Integer,161,160
acb,Integer,162,161
acb,Integer,163,162
acb,Integer,164,163
acb,Integer,165,164
acb,Integer,166,165
acb,Integer,167,166
acb,Integer,168,167
acb,Integer,169,168
acb,Integer,170,169
acb,Integer,171,170
acb,Integer,172,171
acb,Integer,173,172
acb,Integer,174,173
acb,Integer,175,174
acb,Integer,176,175
acb,Integer,177,176
acb,Integer,178,177
acb,Integer,179,178
acb,Integer,180,179
acb,Integer,181,180
acb,Integer,182,181
acb,Integer,183,182
acb,Integer,184,183
acb,Integer,185,184
acb,Integer,186,185
acb,Integer,187,186
acb,Integer,188,187
acb,Integer,189,188
acb,Integer,190,189
acb,Integer,191,190
acb,Integer,192,191
acb,Integer,193,192
acb,Integer,194,193
acb,Integer,195,194
acb,Integer,196,195
acb,Integer,197,196
acb,Integer,198,197
acb,Integer,199,198
acb,Integer,200,199
